baseline_sha	077dbe2c287b92c2d0c6a12d5f67c2c0cb83c39c
head_sha	8ea59c2f86f6f4804fff31b413493a482065dca6
measured_at	2026-09-20T09:23:57-03:00
id	PD-047
layout	2t
bound_sec	30.434
timeout_sec	92
cpu_model	12th Gen Intel(R) Core(TM) i7-12700KF
nproc	20
taskset_mask	0,2
threads	2
binary	/home/rogerio/git/cobre/target/profiling/cobre
cargo_profile	profiling
cargo_features	mpi (cobre-cli), highs (default backend)
binary_mtime	2026-09-20 08:25:35.266280391 -0300
deck	/home/rogerio/git/cobre-bridge/example/cobre-mar-26-rv2-reduced
deck_sha256	3eae6cb5c36149b66fe38a8ed151c4d1efdcc3b263713a4ce1a3489295c88598
perf_profile	measurements/PD-047/perf.txt (run 1; sampled, excluded from nothing: its wall time is still a timed row)
