# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 5K of event 'cpu_core/cycles/Pu'
# Event count (approx.): 245300293569
#
# Overhead  Command  Shared Object        Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
# ........  .......  ...................  ..........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
    34.98%  cobre    cobre                [.] assessMatrix(HighsLogOptions const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, int, int, bool, std::vector<int, std::allocator<int> >&, std::vector<int, std::allocator<int> >&, std::vector<int, std::allocator<int> >&, std::vector<double, std::allocator<double> >&, double, double)
    10.07%  cobre    cobre                [.] HighsSparseMatrix::createRowwisePartitioned(HighsSparseMatrix const&, signed char const*)
     6.17%  cobre    libc.so.6            [.] __memmove_avx_unaligned_erms
            |          
             --2.94%--0xffffffffb2001280

     5.82%  cobre    cobre                [.] HighsSparseMatrix::priceByColumn(bool, HVectorBase<double>&, HVectorBase<double> const&, int) const
     3.58%  cobre    cobre                [.] HighsLinearSumBounds::update(int&, HighsCDouble&, int, double, double) const
     3.32%  cobre    libc.so.6            [.] __memset_avx2_unaligned_erms
            |          
             --1.16%--0xffffffffb2001280

     3.14%  cobre    cobre                [.] HighsSparseMatrix::collectAj(HVectorBase<double>&, int, double) const
     3.03%  cobre    cobre                [.] int highs_splay<int, presolve::HPresolve::unlink(int)::{lambda(int)#1}&, presolve::HPresolve::unlink(int)::{lambda(int)#2}&, presolve::HPresolve::unlink(int)::{lambda(int)#3}&>(int const&, int, presolve::HPresolve::unlink(int)::{lambda(int)#1}&, presolve::HPresolve::unlink(int)::{lambda(int)#2}&, presolve::HPresolve::unlink(int)::{lambda(int)#3}&) [clone .isra.0]
     2.79%  cobre    cobre                [.] getPrimalDualGlpsolErrors(HighsOptions const&, HighsLp const&, std::vector<double, std::allocator<double> > const&, HighsSolution const&, HighsPrimalDualErrors&)
     1.78%  cobre    cobre                [.] solveHyper(int, int const*, int const*, double const*, int const*, int const*, int const*, double const*, HVectorBase<double>*)
            |          
             --1.13%--solveHyper(int, int const*, int const*, double const*, int const*, int const*, int const*, double const*, HVectorBase<double>*)

     1.68%  cobre    cobre                [.] HSimplexNla::debugCheckData(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >) const
     1.56%  cobre    cobre                [.] assessExcessiveObjectiveBoundScaling(HighsLogOptions, HighsModel const&, HighsUserScaleData&)
     1.55%  cobre    cobre                [.] presolve::HPresolve::getRowPositions(int, std::vector<int, std::allocator<int> >&) const
     1.48%  cobre    cobre                [.] HFactor::buildFinish()
     1.28%  cobre    cobre                [.] HighsSparseMatrix::hasLargeValue(double)
     1.09%  cobre    cobre                [.] presolve::HPresolve::updateColImpliedBounds(int)
     0.99%  cobre    cobre                [.] HFactor::ftranU(HVectorBase<double>&, double, HighsTimerClock*) const
     0.90%  cobre    cobre                [.] HFactor::buildSimple()
     0.73%  cobre    cobre                [.] HEkkDualRHS::chooseNormal(int*)
            |          
             --0.56%--HEkkDualRHS::chooseNormal(int*) [clone .localalias] (inlined)

     0.72%  cobre    [unknown]            [k] 0xffffffffb2001988
     0.71%  cobre    cobre                [.] HVectorBase<double>::reIndex()
     0.62%  cobre    cobre                [.] HighsSparseMatrix::numNz() const
     0.61%  cobre    cobre                [.] HighsSparseMatrix::priceByRowWithSwitch(bool, HVectorBase<double>&, HVectorBase<double> const&, double, int, double, int) const
     0.52%  cobre    cobre                [.] presolve::HPresolve::unlink(int)
     0.48%  cobre    cobre                [.] presolve::HPresolve::link(int)
     0.47%  cobre    cobre                [.] HEkkDualRHS::updatePrimal(HVectorBase<double>*, double)
     0.44%  cobre    cobre                [.] HEkkDualRow::choosePossible()
     0.34%  cobre    cobre                [.] HighsLinearSumBounds::add(int, int, double)
     0.34%  cobre    cobre                [.] presolve::HPresolve::rowPresolve(presolve::HighsPostsolveStack&, int)
     0.33%  cobre    cobre                [.] HighsSparseMatrix::priceByRowDenseResult(std::vector<double, std::allocator<double> >&, HVectorBase<double> const&, int, int) const
     0.31%  cobre    cobre                [.] presolve::HPresolve::updateColImpliedBounds(int, int, double)
     0.28%  cobre    cobre                [.] presolve::HPresolve::detectParallelRowsAndCols(presolve::HighsPostsolveStack&)
     0.27%  cobre    cobre                [.] HFactor::btranFT(HVectorBase<double>&) const
     0.27%  cobre    cobre                [.] presolve::HPresolve::checkUpdateColImpliedBounds(int, double*, double*) const
     0.26%  cobre    cobre                [.] HighsSparseMatrix::update(int, int, HighsSparseMatrix const&)
     0.26%  cobre    cobre                [.] cobre_solver::freeze::freeze_rows_into_template
     0.23%  cobre    cobre                [.] HFactor::ftranFT(HVectorBase<double>&) const
     0.23%  cobre    cobre                [.] HFactor::btranL(HVectorBase<double>&, double, HighsTimerClock*) const
     0.22%  cobre    cobre                [.] HighsLinearSumBounds::handleVarLower(int, double, double, int)
     0.20%  cobre    cobre                [.] HighsLinearSumBounds::handleImplVarLower(int, double, double, int)
     0.19%  cobre    cobre                [.] HighsLinearSumBounds::handleImplVarUpper(int, double, double, int)
     0.15%  cobre    cobre                [.] HighsLinearSumBounds::getResidualSumUpperOrig(int, int, double, int, double, double) const
     0.15%  cobre    cobre                [.] HEkkDualRow::updateDual(double)
     0.15%  cobre    cobre                [.] std::vector<int, std::allocator<int> >::_M_fill_assign(unsigned long, int const&)
     0.14%  cobre    cobre                [.] HEkk::getValueScale(int, std::vector<double, std::allocator<double> > const&) const
     0.14%  cobre    cobre                [.] HFactor::buildKernel()
     0.14%  cobre    cobre                [.] HEkkDualRow::chooseMakepack(HVectorBase<double> const*, int)
     0.14%  cobre    cobre                [.] HFactor::updateFT(HVectorBase<double>*, HVectorBase<double>*, int)
     0.14%  cobre    cobre                [.] HEkkDualRHS::updateInfeasList(HVectorBase<double>*)
     0.13%  cobre    cobre                [.] HighsLinearSumBounds::handleVarUpper(int, double, double, int)
     0.13%  cobre    cobre                [.] HighsLinearSumBounds::getImplVarUpper(int, int) const
     0.12%  cobre    cobre                [.] presolve::HPresolve::colPresolve(presolve::HighsPostsolveStack&, int)
     0.12%  cobre    cobre                [.] HEkk::updateDualDevexWeights(HVectorBase<double> const*, double)
     0.12%  cobre    cobre                [.] HighsLinearSumBounds::remove(int, int, double)
     0.11%  cobre    cobre                [.] HEkkDualRow::computeDevexWeight(int)
     0.11%  cobre    cobre                [.] HVectorBase<double>::tight()
     0.11%  cobre    libc.so.6            [.] _int_malloc
     0.10%  cobre    cobre                [.] HighsLinearSumBounds::getImplVarUpper(int, double, double, int) const
     0.10%  cobre    cobre                [.] cobre_sddp::cut::row::build_cut_row_batch_into
     0.10%  cobre    libc.so.6            [.] malloc
     0.10%  cobre    cobre                [.] HEkk::initialiseSimplexLpRandomVectors()
     0.09%  cobre    cobre                [.] presolve::HPresolve::isImpliedEquationAtLower(int) const
     0.09%  cobre    cobre                [.] std::vector<double, std::allocator<double> >::_M_fill_assign(unsigned long, double const&)
     0.08%  cobre    cobre                [.] presolve::HPresolve::isImpliedEquationAtUpper(int) const
     0.08%  cobre    cobre                [.] presolve::HPresolve::removeFixedCol(int, double)
     0.08%  cobre    cobre                [.] presolve::HPresolve::shrinkProblem(presolve::HighsPostsolveStack&)
     0.08%  cobre    libc.so.6            [.] __libc_malloc2
     0.08%  cobre    cobre                [.] HighsLinearSumBounds::residual(int&, HighsCDouble&, double, double, int, double, double, double) const
     0.08%  cobre    cobre                [.] HEkk::computeSimplexDualInfeasible()
     0.08%  cobre    cobre                [.] HighsLinearSumBounds::getImplVarLower(int, int) const
     0.08%  cobre    cobre                [.] presolve::HPresolve::computeColBounds(int, int, double, int, double*, double*, double*, double*)
     0.08%  cobre    cobre                [.] HFactor::ftranL(HVectorBase<double>&, double, HighsTimerClock*) const
     0.08%  cobre    cobre                [.] calculateRowValuesQuad(HighsLp const&, std::vector<double, std::allocator<double> > const&, std::vector<double, std::allocator<double> >&, int)
     0.07%  cobre    cobre                [.] cobre_io::output::policy::codec::read_f64_vector
     0.07%  cobre    cobre                [.] presolve::HPresolve::markChangedRow(int)
     0.07%  cobre    libm.so.6            [.] __wrap_scalbn
     0.06%  cobre    cobre                [.] HEkkDualRow::chooseFinal()
     0.06%  cobre    cobre                [.] HEkk::computeSimplexPrimalInfeasible()
     0.06%  cobre    cobre                [.] HEkk::computeDual()
     0.06%  cobre    cobre                [.] HEkk::computeDualObjectiveValue(int)
     0.06%  cobre    cobre                [.] Highs_getSolution
     0.06%  cobre    cobre                [.] getVariableKktFailures(double, double, double, double, double, double, HighsVarType, double&, double&, unsigned char&, unsigned char&, int)
     0.06%  cobre    cobre                [.] HVectorBase<double>::clear()
     0.06%  cobre    cobre                [.] presolve::HPresolve::toCSC(std::vector<double, std::allocator<double> >&, std::vector<int, std::allocator<int> >&, std::vector<int, std::allocator<int> >&)
     0.05%  cobre    cobre                [.] presolve::HPresolve::isEquation(int) const
     0.05%  cobre    cobre                [.] HEkk::updatePivots(int, int, int)
     0.04%  cobre    cobre                [.] bool okResize<int>(std::vector<int, std::allocator<int> >&, int, int)
     0.04%  cobre    cobre                [.] HEkkDual::chooseColumn(HVectorBase<double>*)
     0.04%  cobre    cobre                [.] maxHeapify(int*, int*, int, int)
     0.04%  cobre    cobre                [.] std::vector<int, std::allocator<int> >::_M_default_append(unsigned long)
     0.04%  cobre    libstdc++.so.6.0.36  [.] operator new(unsigned long)
     0.04%  cobre    cobre                [.] HEkkDualRow::chooseFinalWorkGroupQuad()
     0.04%  cobre    cobre                [.] HEkk::setBasis(HighsBasis const&)
     0.04%  cobre    cobre                [.] presolve::HPresolve::computeColBounds(int, int, double, int, double*, double*, double*, double*)::{lambda(presolve::HPresolve::computeColBounds(int, int, double, int, double*, double*, double*, double*)::nonZeros const&, double, int, bool)#1}::operator()(presolve::HPresolve::computeColBounds(int, int, double, int, double*, double*, double*, double*)::nonZeros const&, double, int, bool) const
     0.04%  cobre    cobre                [.] serde_core::ser::Serializer::collect_seq
     0.04%  cobre    cobre                [.] highs_isInfinity(double)
     0.04%  cobre    cobre                [.] HighsLinearSumBounds::getImplVarLower(int, double, double, int) const
     0.04%  cobre    cobre                [.] presolve::HPresolve::changeImplRowDualUpper(int, double, int)
     0.03%  cobre    libm.so.6            [.] __scalbn
     0.03%  cobre    cobre                [.] <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::fold
     0.03%  cobre    cobre                [.] <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::fold
     0.03%  cobre    cobre                [.] HighsLinearSumBounds::updatedImplVarUpper(int, int, double, double, double, int)
     0.03%  cobre    libc.so.6            [.] unlink_chunk.isra.0
     0.02%  cobre    cobre                [.] std::vector<int, std::allocator<int> >::_M_fill_insert(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, unsigned long, int const&)
     0.02%  cobre    cobre                [.] presolve::HPresolve::changeImplColUpper(int, double, int)
     0.02%  cobre    libc.so.6            [.] _int_free_merge_chunk
     0.02%  cobre    cobre                [.] HEkk::setBasis()
     0.02%  cobre    cobre                [.] HEkkDual::computeDualInfeasibilitiesWithFixedVariableFlips()
     0.02%  cobre    cobre                [.] HEkk::debugNlaCheckInvert(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int) const
     0.02%  cobre    cobre                [.] HEkk::initialiseLpRowBound()
     0.02%  cobre    cobre                [.] HEkkDual::updatePrimal(HVectorBase<double>*)
     0.02%  cobre    cobre                [.] std::_Function_handler<bool (int, bool), presolve::HPresolve::dualFixing(presolve::HighsPostsolveStack&, int)::{lambda(int, bool)#1}>::_M_invoke(std::_Any_data const&, int&&, bool&&)
     0.02%  cobre    cobre                [.] getPrimalDualBasisErrors(HighsOptions const&, HighsLp const&, HighsSolution const&, HighsBasis const&, HighsPrimalDualErrors&)
     0.02%  cobre    cobre                [.] HEkkDual::updatePivots()
     0.02%  cobre    cobre                [.] HEkkDual::updateVerify()
     0.02%  cobre    cobre                [.] HSimplexNla::applyBasisMatrixColScale(HVectorBase<double>&) const
     0.02%  cobre    cobre                [.] HEkk::isBadBasisChange(SimplexAlgorithm, int, int, int)
     0.02%  cobre    cobre                [.] presolve::HPresolve::detectDominatedCol(presolve::HighsPostsolveStack&, int, bool)
     0.02%  cobre    libm.so.6            [.] __frexp
     0.02%  cobre    cobre                [.] presolve::HPresolve::okSetInput(HighsLp&, HighsOptions const&, int, HighsTimer*)
     0.02%  cobre    cobre                [.] HEkk::putBacktrackingBasis(std::vector<int, std::allocator<int> > const&)
     0.02%  cobre    cobre                [.] getComplementarityViolations(HighsLp const&, HighsSolution const&, double, int&, double&)
     0.02%  cobre    cobre                [.] HighsLinearSumBounds::updatedImplVarUpper(int, int, double, double, int)
     0.02%  cobre    libc.so.6            [.] clock_gettime@@GLIBC_2.17
     0.02%  cobre    cobre                [.] void std::vector<int, std::allocator<int> >::_M_realloc_append<int const&>(int const&)
     0.02%  cobre    cobre                [.] HEkk::initialiseLpColCost()
     0.02%  cobre    cobre                [.] HighsSparseMatrix::assessSmallValues(HighsLogOptions const&, double)
     0.02%  cobre    libstdc++.so.6.0.36  [.] std::ostream& std::ostream::_M_insert<long>(long)@plt
     0.02%  cobre    cobre                [.] HighsSparseMatrix::isColwise() const
     0.02%  cobre    cobre                [.] presolve::HPresolve::okFromCSC(std::vector<double, std::allocator<double> > const&, std::vector<int, std::allocator<int> > const&, std::vector<int, std::allocator<int> > const&)
     0.02%  cobre    cobre                [.] HEkk::computePrimal()
     0.02%  cobre    cobre                [.] HEkk::initialiseLpColBound()
     0.02%  cobre    cobre                [.] HFactor::setupGeneral(int, int, int, int const*, int const*, double const*, int*, double, double, int, HighsLogOptions const*, bool, int)
     0.02%  cobre    cobre                [.] HSimplexNla::update(HVectorBase<double>*, HVectorBase<double>*, int*, int*)
     0.02%  cobre    cobre                [.] cobre_sddp::policy::policy_load::load_boundary_cuts
     0.02%  cobre    cobre                [.] HEkk::bailout()
     0.02%  cobre    cobre                [.] presolve::HighsPostsolveStack::FixedCol::undo(HighsOptions const&, std::vector<presolve::HighsPostsolveStack::Nonzero, std::allocator<presolve::HighsPostsolveStack::Nonzero> > const&, HighsSolution&, HighsBasis&) const
     0.02%  cobre    cobre                [.] HVectorBase<double>::pack()
     0.02%  cobre    cobre                [.] HighsLinearSumBounds::getResidualSumLower(int, int, double, int, double, double) const
     0.02%  cobre    libstdc++.so.6.0.36  [.] malloc@plt
     0.02%  cobre    cobre                [.] presolve::HPresolve::resetRowDualImpliedBoundsDerivedFromCol(int)
     0.02%  cobre    cobre                [.] presolve::HPresolve::reinsertEquation(int)
     0.02%  cobre    cobre                [.] HighsLinearSumBounds::updatedImplVarLower(int, int, double, double, double, int)
     0.02%  cobre    cobre                [.] HighsLinearSumBounds::updatedVarLower(int, int, double, double)
     0.02%  cobre    cobre                [.] presolve::HPresolve::singletonRow(presolve::HighsPostsolveStack&, int)
     0.02%  cobre    cobre                [.] std::_Hashtable<unsigned long, std::pair<unsigned long const, int>, std::allocator<std::pair<unsigned long const, int> >, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, false> >::_M_insert_multi_node(std::__detail::_Hash_node<std::pair<unsigned long const, int>, false>*, unsigned long, std::__detail::_Hash_node<std::pair<unsigned long const, int>, false>*)
     0.01%  cobre    libstdc++.so.6.0.36  [.] std::__detail::_Prime_rehash_policy::_M_next_bkt(unsigned long) const
     0.01%  cobre    cobre                [.] HEkkDual::correctDualInfeasibilities(int&)
     0.01%  cobre    cobre                [.] core::slice::sort::stable::quicksort::quicksort
     0.01%  cobre    cobre                [.] parquet::util::interner::Interner<S>::intern
     0.01%  cobre    cobre                [.] __rustc::__rust_dealloc
     0.01%  cobre    cobre                [.] cobre_io::validation::semantic::stages::check_stage_structure
     0.00%  cobre    cobre                [.] core::hash::BuildHasher::hash_one
     0.00%  cobre    cobre                [.] qh_checkconvex
     0.00%  cobre    cobre                [.] HUF_readDTableX1_wksp
     0.00%  cobre    cobre                [.] qh_setfree
     0.00%  cobre    cobre                [.] serde_json::read::SliceRead::skip_to_escape


#
# (Tip: Add -I to perf record to sample register values, which will be visible in perf report sample context.)
#
